〆切	termination、conclusion、ending、deadline
たま	infrequent、rare
たまり	collect on
ため	sake、interest、good
ためらう	hesitate、waffle、waver、vibrate、oscillate、hover、vacillate
たら	barrel
だす	begin to do
だめ	unreached、unapproachable、out of reach、unreachable、banned、prohibited、tabu、taboo、proscribed、verboten
だらけ	implying (negatively) that something is full of (e.g. mistakes)
だるま	top joint
だれ	inanimateness、lifelessness、stillness、motionlessness、lifelessness
ちゃい	to do something completely
ちゃん	papa、pop、dad、dada、pappa、daddy、pa
ちょうだい	gimme
ちらつか	flutter、flicker、flitter、waver、quiver
ちんこ	penis
っぽく	-ish; -like
っ放し	keep ...-ing (negative nuance、with the state being improper、unpleasant、etc.); have been ...-ing; leaving (something) on; leaving (something) still in use
つい	accede to
つえ	stick; Staff
つかむ	catch by
つかめ	prehensile
つきあい	fellowship、companionship、company、society
つきまとい	dangle after
つぎ	patch
つくっ	create
つくりあげ	carve ( out)
つけ	put on、get into、wear、assume、don、wear、have on、attach、tack on、hang on
つけ麺	Tsukemen
つづく	to be continued
つとめ	serve in
つない	string up、string、get
つながっ	communicate
つながり	connexion、connectedness、connection
つなぎ	pastern
つば	collar; flange
つぶし	upset
つぶやい	chunner；chunter
つぶれ	collapse、fold up
つま	end
つまずき	make a trip
つまらない	niggling、trivial、petty、picayune、lilliputian、footling、piffling、piddling、little、fiddling
つまり	plugging
つもり	intention
つらい	trying、nerve-wracking、stressful、nerve-racking、bitter、acrimonious、trying、hard、gruelling、heavy
てっぺん	top of
てにをは	particle
である	be、be
でかす	perform、execute、do、effect
でき	capable
できちゃった結婚	Shotgun wedding
でっち上げ	concoct、trump up
では	then
でんぱ	REXS
とい	trough
とき	time、time、clip、time、time
ときどき	at times、now and again、now and then、once in a while、from time to time、occasionally、on occasion、sometimes
とく	to do something in readiness for; to get something (needful) done
ところ	position、place、topographic point、place、spot、place、station
とっ	advance in
とどまら	abide in
とばっちり	splash
とまどう	boggle at
とも	certainly; of course; to be sure; surely
ともども	together
とりこ	thrall of
とろける	melty
どうでしょう	How is this?
どこ	Where
どころ	particle used to indicate that what precedes it is an extreme example and strongly negates it
どちら	both、either
どの	any
どれ	which
どん底	depths
な	out of
ないか	(used to ask a question in the negative) won't (hasn't、isn't、doesn't、etc.)
なくし	eliminate、extinguish、get rid of、do away with
なくなっ	go、run short、run low
なさ	brinjal; eggplant
なじみ	acquaintance with
なだらか	liquid、smooth、fluent、fluid、smooth、smooth
なっ	get、contract、take、grow、turn、turn、change state、go、get、become
なでしこジャパン	The Japanese women’s soccer team
なのだ	it is assuredly that ...; can say with confidence that ...
なめ	lick
ならでは	distinctive of; characteristic of; uniquely applying to; special to
なり	or something; for instance ... (though there are other suitable options)
なんだろう	I wonder.
にくい	hard to do
にも	also; too; not ... either; as well; even
にらま	look black at
ぬぐい	wipe up
ねじ	thread; screw; screw thread
ねじれ	twist; torsion
の	No (kana)
のせる	pillow on
のぞい	snoop、pry into
のっ	bite at
のぼっ	mount
のめり込ん	to be completely absorbed in; to fall for (something)
のようなもの	Something Like It
の中	in
はいる	enter
はさまっ	intervene between
はさみ	cheliped; forceps; chela
はさむ	have a nip at
はたい	beat、beat up、work over、slap
はて	Dear me!; Good gracious!
はまり	fit into
はめ	put in、install、instal、set up
はるか	far、distant、remote、distant、removed、remote、faraway、far-off、far
ばら	rose; loose
ばらつき	dispersion
ひき逃げ	hit and run
ひっかかっ	entangle in
ひっくり返す	overthrow、override、reverse、overturn、overrule、flip、turn over、flip over、bowl over、knock over
ひとり	one‐man
ひと言	word
ひどい	bitter、acrimonious、awful、direful、horrendous、frightening、dreadful、horrific、terrible、dire
ひねっ	curl ( up)
ひも	cord
ひょっと	perchance、by chance
ひよこ	chick
ひらがな	hiragana
ひらく	Open
ひるま	pull back、retreat、back away、withdraw、crawfish out、crawfish、back out、pull in one's horns、recoil、quail
びっくり	surprise
ぴあ	Pia
ぴったり	fast、tight、tightly、just、precisely、exactly、closely、tightly、precisely、incisively
ふー	Whew!
ふう	Phew
ふがいな	cowardly、fearful、spineless、wishy-washy、gutless、namby-pamby
ふくそう	congestion
ふさわしく	suitable、worthy、desirable、becoming、suitable、suited、meet、fitting、seemly、comme il faut
ふたり	Chizuko's Younger Sister
ふつう	generally、in general、in the main、commonly、ordinarily、unremarkably、usually、normally、generally、mostly
ふり	feint of
ふりがな	furigana
ふるい	exercise on
ふるさと	birthplace
ぶち	beat、beat up、work over、hit、strike、hit
ぶちまけ	take out on
ぶっちぎり	Bucchigiri
ぶっちゃけ	speaking one's mind and holding nothing back
ぶつかっ	face、confront、run into、collide with、strike、hit、impinge on、run into、jar against、knock against
ぶつけ	run into、collide with、strike、hit、impinge on、run into、jar against、knock against、bump into、butt against
ぶり	yellowtail; yellowtail fish
ほう	bract; bracteate …
ほし	wish to do
ほど	fire gate; hearth
ほのめかす	intimate、adumbrate、insinuate
ほめ	commend for
ほろ酔い	inebriation、intoxication、insobriety、tipsiness、drunkenness、inebriety
まい	seed with
まいり	snap off
まくし立て	blaze away at
まし	used to indicate respect for the listener (or reader)
まじめ	square、straight、straightforward、serious、earnest、solemn、sincere、serious、sober、unplayful
まじめさ	honesty
まずい	ugly、inept、awkward、cumbersome、ill-chosen、clumsy、inapt、bad、clumsy、incompetent
またい	stride across
またがっ	ride on
まち	gore; town; gusset
まっ	pine tree; pine
まとっ	fold ( up)
まとまっ	keep together in
まとめ	roundup of
まとめる	consolidate、align、ordinate、coordinate、commix、amalgamate、mix、unify、mingle
まとも	direct、square、straight、straightforward、just、proper、respectable、upright、good、just
まどろっこしい	dull (e.g. of movement or reaction); sluggish
まなざし	look
まね	loam
まま	at times、now and again、now and then、once in a while、from time to time、occasionally、on occasion、oftentimes、oft、frequently
ままごと	house
まわし	refer
み	deal、consider、look at、take、see、ascertain、find out、check、watch、determine
みえ	look、appear、look、seem、appear、seem
みたい	like
みなさ	shall be deemed
みんな	everyone
むき出し	bareness
むちゃ	unreasonable、excessive、inordinate、undue、ridiculous、derisory、laughable、ludicrous、absurd、preposterous
むやみ	heedless、reckless、exuberant、extravagant、excessive、overweening、thoughtless、unthoughtful、unthinking、unreflective
むら	irregularity; unevenness; surface irregularity
め	Me (kana)
めい	to show signs of ...; to have the appearance of ...
めぐっ	to go around
めげ	to be discouraged; to shrink from
めざす	aim at
めちゃくちゃ	unreasonable、excessive、inordinate、undue、confused、broken、disordered、upset、helter-skelter、chaotic
めちゃめちゃ	unreasonable、excessive、inordinate、undue、great、ridiculous、derisory、laughable、ludicrous、absurd
もうける	fix up、arrange、put in、install、instal、set up、effect、effectuate、set up、sack
もし	If
もたらし	wreak、make for、bring、play、work、induce、bring on、make、cause、do
もっ	Offal
もったいない	Mottainai
もっとも	correct、right、natural、innate、born
もっともっと	more and more
もっと強く	stronger；harder
もつ鍋	motsunabe; giblet hotpot
もと	origin; yeast mash; seed mash
もの	physical object、object、article、thing、thing、one、thing
ものすごい	horrible、frightful、ugly、atrocious、horrifying、awful、direful、horrendous、frightening、dreadful
もらい	find、incur、get、receive、obtain、take、receive、have
もらえ	get
もろもろ	All kinds
やさしい	easy、uncomplicated、unproblematic、elementary、simple、soft
やすい	easy、uncomplicated、unproblematic、elementary、simple、easy、dewy-eyed、simple、wide-eyed、round-eyed
やっ	perform、execute、do、make、do
やっかい	awkward、embarrassing、sticky、unenviable、troublesome、onerous、burdensome、taxing、awkward、ungainly
やっつけ	trounce、shell、beat、crush、beat out、vanquish
やってき	come、come、come、come up、come、arrive、get
やって来	come、come、arrive、get
やつ	blighter、gent、lad、bloke、cuss、chap、feller、fella、fellow、bozo
やばい	severe、serious、life-threatening、grave、dangerous、grievous、unsafe、dangerous、risky、hazardous
やま	leave off
やむを得ない	inevitable
やめ	quit、stop、abstain from
ややこしい	involved、mired、complex、byzantine、tortuous、tangled、involved、knotty、convoluted、complicated
やらかし	perform、execute、do、make、do
やらせ	faked situation
やりかた	batter board
やりがい	worth doing
やりくり	rig up
やりとり	exchange
やり取り	exchange
やり直し	Start Over
やり直す	re-start、resume、restart
やり方	way
やる気	intention
やれ	oh!; ah!; oh dear!; dear me!; thank God!
やんちゃ	wicked、mischievous、pixilated、implike、prankish、impish、puckish、arch
ゆすり	jar、jolt、shake、agitate、wring、squeeze、rack、gouge、extort、blackmail
ゆで卵	boiled egg
ゆとり	allowance
ゆとり世代	generation educated with latitude
ゆりかもめ	Yurikamome
ゆる	slack
よい	good、beneficial、well、correct、right、fine、unspoiled、unspoilt、undecomposed、good
よう	carbuncle
ようやく	eventually、finally、in the end、in the long run
よじ登っ	sputter、scramble、clamber、shin、shinny、skin、struggle、go up、mount、climb
よそ	another place
よみがえり	rise from the dead
より	depend on
よろしく	alright、all right、fine、very well、ok
よろしくお願いします	best regards、Best regards；Nice to meet you；I'm looking forward to working with you.、Thank you.
ら	Ra (kana)
りょう	edge
れ	and (vs) verbs) indicates passive voice (incl. the "suffering passive")
れんげ	china spoon
ろ	leno
わい	frame; yoke
わかっ	understand、understand、infer、sympathize、understand、empathise、empathize、sympathise、hear、get wind
わがまま	selfishly、egotistically
わけ	reason、reason、ground
わたっ	roll、cast、range、swan、wander、tramp、vagabond、stray、rove、roam
わに	Wani
わらじ	straw sandal
ん	N (kana)
アーカイブ	archives
アーティスト	artist、creative person
アーム	arm; limb
アイコン	icon
アイサイト	eye sight
アイデア	idea
アイデアソン	ideathon
アイデンティティー	personal identity、identity、individuality、identity、identity operator、identity、identity element
アイドル	idol
アイドルグループ	idol group
アイビス	ives、james merritt ives、james ives
アイランド	island
アイリス	iris
アイルランド	Ireland
アウェイ	Away
アウト	out、putout
アウトブレイク	Outbreak、Outbreak (film)
アウトプット	output
アウトライン	outline
アウトランダー	Outlander、Outlander (TV series)
アウトルック	outlook
アカウント	account
アカデミー	academy、academy、honorary society、academy
アカデミー賞	Academy Awards
アカデミズム	academism
アカデミック	academic
アカペラ	A cappella
アキュラ	Acura
アクション	action
アクセシビリティ	accessibility
アクセス	access
アクセスログ	access log
アクセス数	Online traffic；Traffic
アクセル	accelerator
アクセル全開	full throttle
アグネス	Agnes； agnes； Agnieszka、641 Agnes、Agnes of God (film)
アグネス・チャン	Agnes Chan
アグリ	Aggrey、Aguri
アシスタント	assistant
アシスト	assist
アジア	Asia
アジアインフラ投資銀行	Asian Infrastructure Investment Bank
アジアラグビーチャンピオンシップ	Asian Rugby Championship
アジア太平洋	Asia‐Pacific
アジェンダ	agenda
アスリート	athlete
アセビ	Pieris
アタック	attack
アダム・レヴィーン	Adam Levine
アダルト	adult、grownup
アップ	up
アップグレード	upgrading
アップデート	update
アップロード	up‐load; upload
アテ	111 Ate
アドバイザー	advisor; adviser
アドバイス	advice
アドバンテージ	advantage
アドルフ・ヒトラー	Adolf Hitler
アナ	announcer
アナウンサー	announcer
アナウンス	announcement
アナリシス	analysis
アナリスト	analyst
アナログ	analogue; analog
アニメ	animation
アノニマス	FTP anonymous FTP、Anonymous
アバター	Avatar
アビスパ福岡	Avispa Fukuoka
アピール	appeal
アフリカ	Afrique; Africa
アフロ	afro
アブダビ	Abu Dhabi
アプリ	application、diligence
アプリケーション	application
アプローチ	approach
アベノミクス	Abenomics
アポ	appointment
アマ	flax; Linum seed; Linum usitatissimum
アマチュア	amateur
アメ	Ahmed； A mes
アメリカ	USA; America; United States of America; U.S.A.
アメリカ時間	American trading session
アメリカ人	American
アメリカ大統領	President of the United States of America
アメリカ大統領選挙	U.S. presidential election
アラート	alert
アラーム	alarm
アライアンス	alliance、alignment、alinement、coalition
アラブ首長国連邦	United Arab Emirates
アリ	Formicidae; ant
アルカリ性	alkaline
アルコール	alcohol
アルゴリズム	algorithm
アルジェリア	Democratic and Popular Republic of Algeria; Democratic and People’s Republic of Algeria; Republique Algerienne Democ; Algeria
アルジェリア人	Algerian
アルバイト	part‐time job
アルビン・トフラー	Alvin Toffler
アルファベット	alphabet
アレルギー	allergic; allergy
アワード	award
アン	Al； An； al； Ang； Ann； Anne； Ahn； an； Angleterre； Anh； Anm； Anna； Arne； El； Han； Hens、-ane、Anne、Princess Royal and Princess of Orange、Anne (Buffy the Vampire Slayer episode)、Anne、Princess Royal
アン・ウィルソン	Ann Wilson
アンインストール	un-install; uninstallation
アンカー	anchor unit; anchor
アンケート	questionnaire; opinionaire
アンコール	encore
アンダー	under
アンダーソン・毛利・友常法律事務所	Anderson M?ri & Tomotsune
アンテナ	antenna
アンテナショップ	antenna shop
アンドロイド	android
アンバー・ハード	Amber Heard
イージー	handy、easy、easy
イースト	East; yeast
イオン	ion
イギリス	Britain; England; United Kingdom
イコール	equal
イシュー	issue
イスラエル	State of Israel; Medinat Israel; Israel
イスラム	Islam
イスラム過激派	radical Islamism; Islamic extremism
イスラム教	Islam
イスラム教徒	moslem、muslim
イスラム国	Islamic State
イスラム社会	Islamic society
イスラム法	Sharia
イタイイタイ病	ouch‐ouch disease; Itai‐Itai disease; itai‐itai disease
イタリア	Republica Italiana; Republic of Italy; Italian Republic; Italy
イチゴ	Fragaria ananassa; Fragaria; strawberry
イナバ	Inaba
イニシアティブ	initiative
イニング	inning
イノシシ	boar; Sus; wild boar
イノベーション	innovation
イビ	Eby； Ibbi
イブラヒモビッチ	Ibrahimovic
イベント	event
イメージ	image
イヤホン	ear phone; earphone
イラク	Al-Jumhuriya al Iraqia; Republic of Iraq; Iraq
イラスト	illustration
イラン	Iran; Islamic Republic of Iran
イランの核開発問題	Iran and weapons of mass destruction
イルソン	Ilson
イレギュラー	uneven、anomalous、irregular
イロハ	rudimentary knowledge; Japanese alphabet
イン	back nine
インク	ink
イングランド	England
インシデント	incident
インストール	installation
インストラクター	teacher、instructor
インスパイア	inspire
インター	intersection point
インターネット	internet; Internet
インターネットサービス	Internet-based service; Internet service
インターリーグ	interleague
インターン	intern
インタビュー	interview
インタビュアー	interviewer
インタラクティブ	interactive; Interactive
インチ	inch
インテリ	intelligentzia
インテル	INTEL
インディーズ	indies
インド	India
インドネシア	Republic of Indonesia; Republik Indonesia; Indonesia
インド軍	Indian Armed Forces
インド洋	Indian Ocean
インパクト	impact
インフォーマル	informal、everyday、casual、daily、informal、intimate、cozy、unofficial
インフラ	infrastructure
インフルエンザ	flu; grip; epidemic catarrh; grippe; influenza
インフレ	inflation
インプット	input
インプロ	improvisation
ウーマン	woman
ウィキペディア	Wikipedia
ウィズダム	Wisdom
ウィレム	Willem； Wiremu
ウィンドウズ	windows
ウインドウズ	Windows、Windoze、CE Windows CE、NT Windows NT
ウェールズ	Wales
ウェアラブル	wearable
ウェイトレス	waitress
ウェザーマップ	Weather Map Co.、Ltd.
ウェブ	web
ウェブサービス	Web Service
ウェブサイト	web site、site、internet site、website
ウェブページ	webpage、web page
ウエイト	weight
ウエスト	girth; waist girth; west
ウエディングドレス	wedding dress、wedding gown、bridal gown
ウォーカー	walker
ウォーミングアップ	warm‐up
ウォール・ストリート	Wall Street
ウォール街	Wall Street
ウォルト	Walt； Waldt； Walter； Worth
ウケ	funny
ウソ	weaver
エース	ace
エール	yell; ale; Ireland; Eire
エアコン	air conditioner; air conditioning
エアドライヤ	air dryer
エアバッグ	air bag
エイリアス	alias
エイリアン	extraterrestrial being、alien、extraterrestrial、stranger、alien、unknown
エキスパート	expert
エクスキューズ	excuse
エクスプレス	express、limited
エコカー	eco-car
エコシステム	ecosystem
エスカレート	escalation
エステ	beauty salon
エステティシャン	aesthetician
エステティック	esthetic
エタノール	ethanol; ethyl alcohol
エチケット	etiquette; good manners
エッセイ	essay
エッセイスト	essayist
エッセンス	essence
エディー	mary baker eddy、mary morse baker eddy、eddy
エディー・ジョーンズ	Eddie Jones
エディター	editor、editor program、editor、editor in chief
エネルギー	energy
エビデンス	evidence
エピソード	episode
エブリスタ	everystar
エボラ	ebola、ebola fever、ebola hemorrhagic fever
エラー	error
エリート	elite
エリア	area
エルドアン	Recep Tayyip Erdogan
エルドレッド	Eldred
エレベーター	lift、elevator、service elevator、freight elevator、hoist
エン	ene
エンゲージ	engage
エンゲージメント	engagement
エンジニア	engineer
エンジニアリング	engineering
エンジン	engine
エンジンブレーキ	engine brake
エンターテインメント	amusement、entertainment
エンタメ	entertainment
エントリ	entry
エントリー	entry
エンドユーザー	end user
エンドレス	endless、endless、eternal、interminable
エンハンスメント	enhancement
エンブレム	emblem
オークランド	Oakland
オーサー	author
オーストラリア	Australia
オーダー	order
オーディエンス	audience
オートマティック	automatic
オーナー	owner、proprietor、owner、possessor
オーバー	over; overcoat; coat
オープニング	opening
オープン	open; opening
オープン戦	exhibition game
オーランド	Orlando； Oland； Orland、Orlando (horse)
オールスター	All-Star
オアフ島	Oahu
オウム	poll; parrot; psittacine
オウンゴール	own goal
オウンドメディア	owned media
オオタカ	goshawk
オクターブ	octave
オジサン	Manybar goatfish
オスカー	Oscar
オススメ	recommendation
オセアニア	Oceania
オタク	otaku
オッズ	odds
オバマ	Obama、Obama
オフ	off
オフィシャル	official
オフィス	office
オフィスワーカー	office worker
オブ	Ove
オブラート	oblaat; oblate; wafer paper; wafer; wafer sheet
オリコン	Oricon
オリジナル	original、original
オリックス	Orix Corp.; ORIX
オリンピック	Olympics
オリンピック選手	Olympic athlete
オレンジ・イズ・ニューブラック	Orange Is the New Black
オンエア	on air
オンライン	on-line; online; on line
オンラインゲーム	online game
カー	car
カーソル	cursor
カーディフ	cardiff
カード	card; curd
カーニング	kerning
